"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"other","sounds","awoo",,,,,,"уу","уу",,,
"other","sounds","baa baa","ga-ga","baa baa","baa baa","מה מה","bææ","бе, ме","бе, ме","beemee","bä bä","mee"
"other","sounds","bang",,,,,,,,"pum",,
"other","sounds","beep beep",,,,,,"биби","биби",,,
"other","sounds","bzzz",,,,"בזז",,"жж","жж",,,
"other","sounds","caw",,,,,,"кар","кар",,,
"other","sounds","choo choo","ku-ku, tu-tu","choo choo","choo choo","ציק ציק צאק","tøff-tøff","ту-ту/чух-чух","ту-ту/чух-чух","tutu","tuff tuff",
"other","sounds","click",,,,,,"чик","чик",,,
"other","sounds","cluck",,,,,,"ко-ко","ко-ко",,,
"other","sounds","cockadoodledoo","kukuriku","cockadoodledoo","cockadoodledoo","קוקוריקו","kykeliky","кукареку","кукареку","qiqiriq","kuckeliku",
"other","sounds","croak",,,,,,"ква","ква",,,
"other","sounds","don't",,,,,,,,,,"cıss"
"other","sounds","drip drop",,,,,,"кап-кап","кап-кап",,,
"other","sounds","gobble gobble",,,,,,"бл-бл","бл-бл",,,
"other","sounds","grrr","grr","grrr","grrr",,"grr","ррр","ррр",,"grrr",
"other","sounds","hee haw",,,,"אי אה",,"иа","иа",,,
"other","sounds","hello",,,,,,"алё","алё",,,
"other","sounds","honk honk",,,,,,"га-га","га-га","pipi",,
"other","sounds","hop",,,,,,"прыг","прыг",,,
"other","sounds","knock knock",,,,,,"тук-тук","тук-тук",,,
"other","sounds","lah lah",,,,,,"ля-ля-ля","ля-ля-ля",,,
"other","sounds","meow","mijau","meow","meow","מיאו","mjau","мяу","мяу","miau","mjau","pisi-pisi"
"other","sounds","moo","muu","moo","moo"," מו","møø","му","му","muu","mu","möö"
"other","sounds","neigh",,,,,,"иго-го/цока-ющий звук","иго-го/цока-ющий звук",,,
"other","sounds","oh",,,,"אוי ",,,,,,
"other","sounds","oink",,,,,,"хрр/хрю","хрр/хрю",,,
"other","sounds","opa",,,,"הופה",,,,,,
"other","sounds","ouch","jao","ouch","ouch",,"au",,,"ay",,"uf"
"other","sounds","peekaboo",,,,,,,,,,"cee"
"other","sounds","peep peep",,,,"ציף ציף",,,,,,
"other","sounds","quack quack","kva-kva","quack quack","quack quack","געגע","gakk gakk","кря","кря","cuacua","kvack kvack",
"other","sounds","ring ring",,,,,,"динь-динь","динь-динь",,,
"other","sounds","shh",,,,"ששש",,"тсс","тсс",,,
"other","sounds","squeak",,,,,,"пи-пи","пи-пи",,,
"other","sounds","sss",,,,,,"шш","шш",,,
"other","sounds","stomp stomp",,,,,,"топ-топ","топ-топ",,,
"other","sounds","thump",,,,,,"бух/бах/бам","бух/бах/бам",,,
"other","sounds","tick tock",,,,,,"тик-так","тик-так",,,
"other","sounds","tweet tweet",,,,,,,,"piopio",,
"other","sounds","uh oh",,"uh oh","uh oh",,,,,,,
"other","sounds","up",,,,,,,,,,"hop/hoppa"
"other","sounds","vroom","brr-brr","vroom","vroom","וון וון","brrr (bil-lyd)","брр/ввв и т.п.","брр/ввв и т.п.",,"brrr","düt"
"other","sounds","weee",,,,,,"а-а-а","а-а-а",,,
"other","sounds","woof woof","vau-vau","woof woof","woof woof","הב הב","voff voff","ав","ав","guagua","vov vov","havhav"
"other","sounds","yucky",,,,,,"фу","фу",,,
"other","sounds","yum yum","njam-njam","yum yum","yum yum","הם ","nam - nam","ам-ам/ням-ням","ам-ам/ням-ням","am","nam nam","ham"
