"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","toys","album",,,,,,,"альбом",,,
"nouns","toys","ball","lopta","ball","ball","כדור","ball","мяч","мяч","pelota","boll","top"
"nouns","toys","balloon","balon","balloon","balloon","בלון","ballong",,"шарик","globo","ballong","balon"
"nouns","toys","bat",,,"bat",,,,,,,
"nouns","toys","beads",,,,"חרוזים",,,,,,
"nouns","toys","block","kocka","block","block","קוביה","klosser","кубики","кубики",,"kloss",
"nouns","toys","book","knjiga","book","book","ספר","bok","книга","книга","libro","bok","kitap"
"nouns","toys","brush",,,,,,,"кисточка",,,
"nouns","toys","bubbles",,"bubbles","bubbles","בועות","såpebobler",,,,"såpbubblor",
"nouns","toys","bucket",,,,,,"ведро","ведро",,,"kova"
"nouns","toys","chalk",,,"chalk",,,,,,,
"nouns","toys","clown",,,,"ליצן",,,,,,
"nouns","toys","crayon",,,"crayon",,,,,,,"boya"
"nouns","toys","doll","lutka","doll","doll","בובה","dukke","кукла","кукла","muneca","docka","bebek"
"nouns","toys","drum",,,,,,,,"tambor",,
"nouns","toys","game",,,"game",,,,,,,
"nouns","toys","glue",,,"glue",,,,"клей",,,
"nouns","toys","marker",,,,,,,"фломастер",,,
"nouns","toys","mold",,,,,,,"формочка",,,
"nouns","toys","paint",,,,,,,"краски",,,
"nouns","toys","pen","olovka","pen","pen","עט","(farge)blyant","карандаш/ручка","ручка","lapiz","penna","kalem"
"nouns","toys","pencil",,,"pencil",,,,"карандаш",,,
"nouns","toys","picture",,,,,,,"фотографии",,,
"nouns","toys","play dough",,,"play dough",,,,"пластилин",,,
"nouns","toys","present",,,"present",,,,,,,
"nouns","toys","puzzle",,,"puzzle",,,,"мозаика/пазл",,,
"nouns","toys","rake",,,,,,,"грабли",,,
"nouns","toys","rattle",,,,"רעשן",,,,,,
"nouns","toys","shovel","lopatica",,,,,"лопатка/совок","лопатка",,,
"nouns","toys","song",,,,,,,"песенка",,,
"nouns","toys","spade",,,,,,,"совок",,,
"nouns","toys","story",,,"story",,,,"сказка",,,
"nouns","toys","teddybear",,,,,,,,"osito",,
"nouns","toys","top",,,,"סביבון",,,"юла",,,
"nouns","toys","tower",,,,"מגדל",,,,,,
"nouns","toys","toy",,,,,,,"игрушка",,,
"nouns","toys","toy (object)","igračka","toy (object)","toy","צעצוע","leke","игрушка",,"juguete","leksak","oyuncak"
