"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","vehicles","airplane","avion","airplane","airplane","מטוס","fly","самолет","самолет","avion","flygplan","uçak"
"nouns","vehicles","ambulance",,,,"אמבולנס",,,,,,
"nouns","vehicles","bicycle","bicikl","bicycle","bicycle","אופניים","sykkel","велосипед","велосипед","bicicle","cykel","bisiklet"
"nouns","vehicles","boat",,,"boat",,,,,,,
"nouns","vehicles","bus","autobus","bus","bus","אוטובוס","buss","автобус","автобус",,"buss","otobüs"
"nouns","vehicles","car","auto","car","car","אוטו","bil","машина","машина","carro","bil","araba"
"nouns","vehicles","firetruck",,"firetruck","firetruck",,"brannbil",,"пожарная машина","camibom","brandbil",
"nouns","vehicles","helicopter",,,"helicopter",,,,"вертолет",,,
"nouns","vehicles","jeep",,,,"ג'יפ",,,,,,
"nouns","vehicles","motorcycle","motor","motorcycle","motorcycle","אופנוע","motorsykkel",,,"moto","motorcykel",
"nouns","vehicles","ship","brod",,,,,,"кораблик","barco",,"gemi/vapur"
"nouns","vehicles","sled",,,"sled",,,,"санки",,,
"nouns","vehicles","stroller",,"stroller","stroller","עגלה","barnevogn","коляска","коляска","carreol","barnvagn",
"nouns","vehicles","tractor",,,"tractor","טרקטור",,"трактор","трактор",,"traktor",
"nouns","vehicles","train","vlak","train","train","קטר , רכבת","tog","паровоз, поезд","паровоз, поезд","tren","tåg","tren"
"nouns","vehicles","tram","tramvaj",,,,,,,,,
"nouns","vehicles","tricycle",,,"tricycle",,,,,,,
"nouns","vehicles","truck","kamion","truck","truck","משאית","lastebil","грузовик","грузовик","camion","lastbil","kamyon"
